Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
2023-09-18 23:46:14,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7109684072821489665,"Seventy of my boot camp graduates qualified for three or six mentorship sessions by doing the work to get certified! ""
""""
""I've been picky about the group of mentors because I want the best of the best to mentor my students. ""
""""
""This is the list of rockstar mentors that we have so far. (I'll be getting one or two more since I didn't expect so many of my boot camp attendees to get certified!)""
""""
""- Stephanie Murphy, senior data engineer at Tesla, she attended the boot camp ""
""- Rimzim Thube, data engineer at Amazon, with over 10 years of experience""
""- Bhargavi Reddy Dokuru, senior data engineer at Netflix""
""- Ankit Biradar, data-focused software engineer at Uber ""
""- Lakshmi Srivalli Kristam, senior data engineer at Grubhub, she was a boot camp mentor too""
""- Lakshmi Malladi, data engineer at Salesforce, also ex-Meta, she attended the boot camp""
""- Venkatesh Selvaraj, senior data engineer at Meta""
""- Lenny A, data engineering leader with many years of experience at Meta and Amazon ""
""- Francesco Quaratino, senior data engineer at Unite with over 11 years of experience (for our Europe/Africa attendees)""
""- Ankit Shrivastava, senior software engineer at Uber (for our Asia attendees)""
""""
""#dataengineering ",,,MEMBER_NETWORK
2023-09-18 23:31:30,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7109680364901564416,Miguel was an amazing student! #dataengineering,,,MEMBER_NETWORK
2023-09-18 18:45:52,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7109608483347468288,"I'm excited to announce that I hired my first full-time employee! ""
""""
""JulieAnn is joining EcZachly Inc as a software engineer and business admin! ""
""""
""JulieAnn was one of my students in the first boot camp and she brought a lot of really positive energy and organization skills. Without her, the v1 would've been a very disorganized mess. ""
""""
""In the v2 boot camp, I hired her part-time as a community manager to help organize the Discord and curricula. She played a critical part in getting dataengineer.io to a great place!""
""""
""For the v3 boot camp that will start in early November, we'll be organizing and creating to level up the quality even higher! ""
""""
""Really excited to have you on the team JulieAnn! ""
""""
""#softwarengineering ""
""#dataengineering ",,,MEMBER_NETWORK
2023-09-17 21:13:35,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7109283267106795520,"Did Bill Inmon and Ralph Kimball ever consider cage fighting like Mark Zuckerburg and Elon Musk over who had the better data warehouse methodology? ""
""""
""I asked the man himself in my boot camp. ""
""""
""I hope you enjoy this clip! ""
""""
""#dataengineering ""
""#dataarchitecture ",,,MEMBER_NETWORK
2023-09-17 18:44:43,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7109245803503775744,"Here’s two hours of free data engineering content on LLM-driven data engineering. Code base and slides linked too. ""
""""
""The lecture:""
""""
""""
""https://lnkd.in/gaCs8NDz ""
""""
""The lab: ""
""""
""https://lnkd.in/g3nSPWq8""
""""
""I’ll be filming two more hours this Thursday as well! You can register to attend that session here: ""
""""
""https://lnkd.in/gg3MH4vR""
""""
""""
""#dataengineering",,,MEMBER_NETWORK
2023-09-15 23:30:12,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7108592874878889985,"Just finished adding certifications to my boot camp platform! Over 70% of my students in the v2 boot camp got the attendee-level certification which required that you attended at least 70% of the lectures! ""
""""
""Going to be sharing the people who got the excellence-level certification which is attendee + all the homework soon! Grading stuff ferociously right now! ""
""""
""#dataengineering",,,MEMBER_NETWORK
2023-09-15 23:27:07,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7108592096839663616,"Victor was a really great student! Glad to see he got certified! ""
""""
""#dataengineering",,,MEMBER_NETWORK
2023-09-14 19:20:18,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7108167598000807936,"The engineer who asks a stupid question looks dumb for a second. ""
""The engineer who doesn’t ask stupid questions looks dumb for a lifetime ""
""""
""#softwareengineering",,,MEMBER_NETWORK
2023-09-14 16:55:17,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7108131101629452288,"How will LLMs disrupt different data engineering tasks? ""
""""
""Here’s a scatter plot of almost every data engineering task based on how technical vs soft skill it is and how tactical vs strategic it is.  ""
""""
""The main takeaways from this should be: ""
""""
""- tactical + technical tasks are going to be disrupted a lot""
""""
""- strategic + soft skill tasks are safe ""
""""
""- LLMs + agents will solve the pain of oncall for 80-90% of failures""
""""
""- just knowing SQL, Python and Spark puts your job at risk ""
""""
""""
""What would you add or change on this chart? Any additional takeaways? ""
""""
""#dataengineering",,,MEMBER_NETWORK
2023-09-13 21:40:48,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7107840567920795648,"Clement has the wisdom here. I’m glad I followed my heart in March! The future is so bright! ""
""""
""#mentalhealth",,,MEMBER_NETWORK
2023-09-13 01:49:30,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7107540764926074880,"The most important lesson I learned as a software engineer entrepreneur this year. ""
""""
""Write code to facilitate business not to generate it! ""
""""
""#softwareengineering",,,MEMBER_NETWORK
2023-09-13 00:01:19,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7107513541049339904,"The number of people DMing me about quitting their big tech jobs is so high right now! ""
""Let’s go!!! Big tech exodus! ""
""""
""#mentalhealth",,,MEMBER_NETWORK
2023-09-12 20:32:43,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7107461043034931200,"I started my Substack newsletter on June 15th. The 90 days since then have been wild. ""
""""
""Went from 0 paid subs to 117. ""
""Went from 9300 free subs to 21700. ""
""""
""Key lessons: ""
""""
""- my articles on data modeling and SQL interviews were my most successful. Providing new value is the most important thing! ""
""""
""- partner with people to grow! ""
""I partnered with Alex Xu, Benjamin Rogojan, Ananth Packkildurai,  Sarah Floris, MS, and Ryan Peterman. We recommend each other and that brought in an additional 5,000 subs!!""
""""
""#dataengineering",,,MEMBER_NETWORK
2023-09-12 18:52:44,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7107435884483907584,"Finally someone seriously taking on Great Expectations! We can and must do better!""
""""
""Congrats, 🎯 Mark Freeman II! ""
""""
""#dataengineering",,,MEMBER_NETWORK
2023-09-12 03:25:46,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7107202604723535872,"Li is a highly technical founder who knows AI extremely well. this is an incredible opportunity!""
""""
""#machinelearning",,,MEMBER_NETWORK
2023-09-11 01:32:37,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7106811740004249600,"The data engineering SQL interview is the most common interview in big tech! ""
""""
""At most companies, you end up getting asked SQL questions for about two hours. ""
""""
""There are two rounds to be aware of:""
""- The screener round""
""Where they test that you have the fundamental knowledge of SQL and how to write code""
""- The onsite round""
""Where they test your depth of SQL and how to optimize with things like indexes and minimizing table scans!""
""""
""I wrote a free Substack article that goes into much more detail about how to pass these interviews here: https://lnkd.in/g_m9RZWH""
""""
""#dataengineering ",,,MEMBER_NETWORK
2023-09-10 23:39:18,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7106783223489200129,"Vitali completed the grind of v2 of EcZachly Inc’s boot camp! ""
""""
""#dataengineering",,,MEMBER_NETWORK
2023-09-10 21:11:55,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7106746135200858112,Great post by Li! Make sure to find breaks for your #mentalhealth while you're building your dreams! ,,,MEMBER_NETWORK
2023-09-10 18:32:22,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7106705980750495744,"My boot camp attendees who meet the attendee certification bar will be paired with a data engineering mentor who has worked in big tech at least 4 years to help them with interview prep, referrals, resume review, and anything else the boot camp attendee wants. ""
""""
""The mentors get paid from the boot camp tuition. Combined track students get six mentorship sessions and single track students get three mentorship sessions! ""
""""
""Six weeks of learning data engineering from me isn’t enough to get you to success. ""
""""
""Finding mentors who can help you and establish long term success is the ultimate goal of the boot camps! ""
""""
""#dataengineering",,,MEMBER_NETWORK
2023-09-10 02:51:20,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7106469161693822976,"My boot camp attendees were ENGAGED! ""
""""
""Kyle Dufrane attended 99.9% of the boot camp, he missed only 3 minutes of the 60+ hours of live content! ""
""""
""Jade Nguyen, Joseph Corrado, Lakshmi Malladi, Rushitaa Dattuluri attended 99.8% of the boot camp! ""
""""
""In total, about 60% of my students will meet the certification bar! ""
""""
""#dataengineering",,,MEMBER_NETWORK
2023-09-09 16:22:50,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7106310995047849984,"Zach promoted from junior to staff in 4 years""
""Ryan promoted from junior to staff in 3 years ""
""""
""I have a feeling it’ll happen eventually where Meta is promoting new grads to staff engineer in one year after joining.""
""""
""It’s wild how quickly a good manager and mentor can accelerate your career! ""
""""
""#softwareengineering",,,MEMBER_NETWORK
2023-09-08 16:50:09,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7105955482468552705,"When I was 20, I had a dream of becoming a mathematics professor.  I applied to graduate schools, had a perfect quant GRE score, and I was so excited to study.  ""
""""
""I abandoned the dream to study data science in industry instead.""
""""
""Going back to school has been on my mind a lot recently. I yearn for the depth and rigor that academics bring. ""
""""
""#datascience",,,MEMBER_NETWORK
